Comment,Published At,Like Count,Reply Count
i struggle sss sound like arti-st-sss,2025-05-17T16:01:10Z,0,0
how to pronounce &quot;r&quot; sound?,2025-05-17T02:00:35Z,0,0
Thanks,2025-05-16T17:56:24Z,0,0
It is very difficult for foreigners 😅,2025-05-16T11:24:42Z,0,0
Thank you very much ❤❤❤,2025-05-16T11:11:36Z,2,0
Thank you very much,2025-05-16T11:11:16Z,3,0
I&#39;m in the car practising the excercise alone while I wait my son and the Man in the car next to me looks at me with sorprised face    JAJAJ,2025-05-16T10:57:37Z,0,1
Reply: Amazing! Well done 🗣️ !,2025-05-16T11:12:35Z,0,0
It sounds like &quot;ث&quot; as in Arabic and Urdu.,2025-05-16T09:57:45Z,3,0
It sounds as spanish &#39;z&#39; we place the tongue de same place.,2025-05-16T09:52:17Z,1,0
GREAT 😊,2025-05-16T09:37:26Z,2,0
